#ID	名前
0x0000	None
0x0001	Cypress Stick
0x0002	Oaken Club
0x0003	Copper Sword
0x0004	Steel Broadsword
0x0005	Cautery Sword
0x0006	Saw Blade
0x0007	Rippled Rapier
0x0008	Faerie Foil
0x0009	Platinum Sword
0x000A	Icicle Dirk
0x000B	Dream Blade
0x000C	Falcon Blade
0x000D	Siren Sword
0x000E	Zombiesbane
0x000F	Dragonsbane
0x0010	Fire Blade
0x0011	Sword of Roamers
0x0012	Massacre Sword
0x0013	Sunderbolt Blade
0x0014	Godaeas Sword
0x0015	Miracle Sword
0x0016	Blizzard Blade
0x0017	Bastard Sword
0x0018	Sword of Ruin
0x0019	Double-Edged Sword
0x001A	Kingsblade
0x001B	Sea Serpent Sabre
0x001C	Metal King Sword
0x001D	Okeanos Sword
0x001E	Bone Stake
0x001F	Bronze Knife
0x0020	Divine Dagger
0x0021	Poison Moth Knife
0x0022	Assassin's Dagger
0x0023	Stone Axe
0x0024	Iron Axe
0x0025	Battleaxe
0x0026	Headsman's Axe
0x0027	Giant Mallet
0x0028	Sledgehammer
0x0029	War Hammer
0x002A	Hela's Hammer
0x002B	Wizard's Staff
0x002C	Staff of Salvation
0x002D	Lightning Staff
0x002E	Snooze Stick
0x002F	Staff of Divine Wrath
0x0030	Staff of Sentencing
0x0031	Staff of Antimagic
0x0032	Rune Staff
0x0033	Sage's Staff
0x0034	Magma Staff
0x0035	Staff of Resurrection
0x0036	Watermaul Wand
0x0037	Saviour Staff
0x0038	Bamboo Spear
0x0039	Iron Lance
0x003A	Holy Lance
0x003B	Demon Spear
0x003C	Thorn Whip
0x003D	Leather Whip
0x003E	Chain Whip
0x003F	Dragontail Whip
0x0040	Spiked Steel Whip
0x0041	Gringham Whip
0x0042	Morning Star
0x0043	Flail of Destruction
0x0044	Boomerang
0x0045	Edged Boomerang
0x0046	Flametang Boomerang
0x0047	Iron Claws
0x0048	Fire Claws
0x0049	Dragon Claws
0x004A	Cobra Claws
0x004B	Beast Claws
0x004C	Stone Fangs
0x004D	Steel Fangs
0x004E	Ferocious Fangs
0x004F	Orichalcum Fangs
0x0050	Lunar Fan
0x0051	Solar Fan
0x0052	Poison Needle
0x0053	Falcon Knife Earrings
0x0054	Chain Sickle
0x0055	Knuckledusters
0x0056	Sizeable Scissors
0x0057	Great Bow
0x0058	Plain Clothes
0x0059	Wayfarer's Clothes
0x005A	Silk Tuxedo
0x005B	Slime Gooniform
0x005C	Dancer's Costume
0x005D	Noble Garb
0x005E	Cloak of Evasion
0x005F	Garish Garb
0x0060	Captain's Coat
0x0061	Smart Suit
0x0062	Magical Skirt
0x0063	Leather Dress
0x0064	Party Dress
0x0065	Spangled Dress
0x0066	Shimmering Dress
