#ID	名前
3	Muster Strength
4	Focus Strength
5	Meditation
6	Defending Champion
7	Selflessness
8	Forbearance
9	Dodgy Dance
10	Song of Salvation
11	Angel Song
12	Backdraft
13	Woolly Blanket
14	Lifeboat
15	Cop Out
16	Weird Dance
17	Sultry Dance
18	Death Dance
19	Hustle Dance
20	Kerplunk Dance
21	Fuddle Dance
22	Tap Dance
23	Ban Dance
24	Sword Dance
25	Muscle Dance
26	Underpants Dance
27	Slumber Rumbaa
28	Weird Leer
29	Sweet Breath
30	Poison Breath
31	Venom Mist
32	Burning Breath
33	Fishy Fog
34	Sandstorm
35	Dazzleflash
36	Spooky Aura
37	Tongue Lashing
38	Tongue Bashing
39	Cursed Verse
40	Gritty Ditty
41	Zzz Shanty
42	Lullaby
43	Counting Sheep
44	Spellbinding Song
45	Silly Song
46	Soothing Song
47	Dawn Chorus
48	War Cry
49	Aooo!
50	Shove
51	Leg Sweep
52	Pratfall
53	Sobering Slap
54	One-Liner
55	Rib-Tickler
56	Retaliate
57	Disruptive Wave
58	Lightning
59	Wind Sickles
60	Jolly Rager
61	Thin Air
62	Fire Breath
63	Flame Breath
64	Inferno
65	Scorch
66	Hellfire
67	Cool Breath
68	Chilly Breath
69	Freezing Breath
70	C-C-Cold Breath
71	[!]Tsunami
72	Pyre o' Fire
73	Magma Blast
74	Fissure
75	Stomp
76	Big Banga
77	Stone's Throw
78	Boulder Toss
79	King Fissure
80	Pearly Gates
81	Magic Burst
82	Lightning Storm
83	[!]Massacre
84	Body Slam
85	Roar Deal
86	Ram Raid
87	Double Up
88	Pressure Pointer
89	Multifists
90	Hatchet Man
91	Falcon Slash
92	Weird Whacker
93	Klepto Clobber
94	Multislice
95	Harvest Moon
96	Mercurial Thrust
97	Double-Edged Slash
98	Dragon Slash
99	Undead Undoer
100	Metal Slash
101	Lightning Slash
102	Flame Slash
103	Gust Slash
104	Kacrackle Slash
105	Flying Knee
106	Wing-Clipper
107	Hornpipe
108	Net Loss
109	Mean Sweep
110	Roundhouse Kick
111	Knuckle Sandwich
112	Heave-Ho
113	Rude Awakening
114	Animal Magnetism
115	Chomp
116	Sic'em
117	Call of the Wild
118	Lambpede
119	Call to Arms
120	Gigaslash
121	Blade of Ultimate Power
122	Summon
123	That Special Summon
124	Megamorphosis
125	Puff-Puff
126	Puff-Puff
138	Toxic Dagger
139	Helm Splitter
140	Miracle Slash
141	Focus Pocus
162	[!]EagleEye
163	[!]Eye for Distance
164	[!]Slumber
165	Nose for Treasure
166	[!]Padfoot
167	Whistle
